City; RouteName; RouteValue; Weight
NewOrleans; LittleRock_NewOrleans_Green; 466,212911973655; 3
Atlanta; Atlanta_NewOrleans_Yellow; 391,836453771786; 4
Atlanta; Atlanta_NewOrleans_Orange; 391,836453771786; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 983; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 983; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Dallas; ElPaso_Dallas_Red; 604,354109499751; 4
LittleRock; LittleRock_Dallas_Grey; 458,560802172026; 2
NewOrleans; LittleRock_NewOrleans_Green; 466,212911973655; 3
Atlanta; Atlanta_NewOrleans_Yellow; 391,836453771786; 4
Atlanta; Atlanta_NewOrleans_Orange; 391,836453771786; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 983; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 983; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 616,689397171438; 6
NewOrleans; Houston_NewOrleans_Grey; 529,908000872793; 2
Atlanta; Atlanta_NewOrleans_Yellow; 391,836453771786; 4
Atlanta; Atlanta_NewOrleans_Orange; 391,836453771786; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 921,14476946357; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 729,101257425393; 3
LosAngeles; LosAngeles_LasVegas_Grey; 902; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 619,994495912434; 6
NewOrleans; Houston_NewOrleans_Grey; 493,038223437163; 2
Atlanta; Atlanta_NewOrleans_Yellow; 359,937050089732; 4
Atlanta; Atlanta_NewOrleans_Orange; 359,937050089732; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 916,450308067305; 3
SanFrancisco; SanFrancisco_SaltLakeCity_Orange; 745,985863574913; 5
SanFrancisco; SanFrancisco_SaltLakeCity_White; 745,985863574913; 5
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 916,450308067305; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 1005; 3
LosAngeles; LosAngeles_LasVegas_Grey; 1002; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 619,994495912434; 6
NewOrleans; Houston_NewOrleans_Grey; 493,038223437163; 2
Atlanta; Atlanta_NewOrleans_Yellow; 359,937050089732; 4
Atlanta; Atlanta_NewOrleans_Orange; 359,937050089732; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 916,450308067305; 3
SanFrancisco; SanFrancisco_SaltLakeCity_Orange; 745,985863574913; 5
SanFrancisco; SanFrancisco_SaltLakeCity_White; 745,985863574913; 5
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 916,450308067305; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 1005; 3
LosAngeles; LosAngeles_LasVegas_Grey; 1002; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 624,21759890628; 6
NewOrleans; Houston_NewOrleans_Grey; 500,86975747704; 2
Atlanta; Atlanta_NewOrleans_Yellow; 425,173508992953; 4
Atlanta; Atlanta_NewOrleans_Orange; 425,173508992953; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 578,743216658869; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 665,526078161334; 3
LosAngeles; LosAngeles_LasVegas_Grey; 902; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 624,21759890628; 6
NewOrleans; Houston_NewOrleans_Grey; 500,86975747704; 2
Atlanta; Atlanta_NewOrleans_Yellow; 425,173508992953; 4
Atlanta; Atlanta_NewOrleans_Orange; 425,173508992953; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 578,743216658869; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 665,526078161334; 3
LosAngeles; LosAngeles_LasVegas_Grey; 902; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 1003; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 1003; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Dallas; ElPaso_Dallas_Red; 593,737799975694; 4
LittleRock; LittleRock_Dallas_Grey; 496,41324074901; 2
NewOrleans; LittleRock_NewOrleans_Green; 475,755278933336; 3
Atlanta; Atlanta_NewOrleans_Yellow; 405,408246149445; 4
Atlanta; Atlanta_NewOrleans_Orange; 405,408246149445; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 1003; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 1003; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 538,445398985875; 6
NewOrleans; Houston_NewOrleans_Grey; 450,209059393736; 2
Atlanta; Atlanta_NewOrleans_Yellow; 405,408246149445; 4
Atlanta; Atlanta_NewOrleans_Orange; 405,408246149445; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 913,359628948187; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 762,27722174351; 3
LosAngeles; LosAngeles_LasVegas_Grey; 902; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 1003; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 1003; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Dallas; ElPaso_Dallas_Red; 593,737799975694; 4
LittleRock; LittleRock_Dallas_Grey; 496,41324074901; 2
NewOrleans; LittleRock_NewOrleans_Green; 475,755278933336; 3
Atlanta; Atlanta_NewOrleans_Yellow; 405,408246149445; 4
Atlanta; Atlanta_NewOrleans_Orange; 405,408246149445; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 1003; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 1003; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 538,445398985875; 6
NewOrleans; Houston_NewOrleans_Grey; 450,209059393736; 2
Atlanta; Atlanta_NewOrleans_Yellow; 405,408246149445; 4
Atlanta; Atlanta_NewOrleans_Orange; 405,408246149445; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 913,359628948187; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 762,27722174351; 3
LosAngeles; LosAngeles_LasVegas_Grey; 902; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 995,964175033018; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 995,964175033018; 3
ElPaso; LosAngeles_ElPaso_Black; 992,023194627877; 6
Houston; ElPaso_Houston_Green; 980,12885904376; 6
NewOrleans; Houston_NewOrleans_Grey; 940,715883576443; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 995,964175033018; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 995,964175033018; 3
ElPaso; LosAngeles_ElPaso_Black; 992,023194627877; 6
Houston; ElPaso_Houston_Green; 980,12885904376; 6
NewOrleans; Houston_NewOrleans_Grey; 940,715883576443; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 977,626749357312; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 977,626749357312; 3
ElPaso; LosAngeles_ElPaso_Black; 890,14860754062; 6
Houston; ElPaso_Houston_Green; 904,213564718229; 6
NewOrleans; Houston_NewOrleans_Grey; 1006; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 977,626749357312; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 977,626749357312; 3
ElPaso; LosAngeles_ElPaso_Black; 890,14860754062; 6
Houston; ElPaso_Houston_Green; 904,213564718229; 6
NewOrleans; Houston_NewOrleans_Grey; 1006; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 879,718473312441; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 879,718473312441; 3
ElPaso; LosAngeles_ElPaso_Black; 907,025297863928; 6
Houston; ElPaso_Houston_Green; 1012; 6
NewOrleans; Houston_NewOrleans_Grey; 1006; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 879,718473312441; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 879,718473312441; 3
ElPaso; LosAngeles_ElPaso_Black; 907,025297863928; 6
Houston; ElPaso_Houston_Green; 1012; 6
NewOrleans; Houston_NewOrleans_Grey; 1006; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 977,862298912735; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 977,862298912735; 3
ElPaso; LosAngeles_ElPaso_Black; 891,457216181862; 6
Houston; ElPaso_Houston_Green; 987,6176; 6
NewOrleans; Houston_NewOrleans_Grey; 982,32; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 977,862298912735; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 977,862298912735; 3
ElPaso; LosAngeles_ElPaso_Black; 891,457216181862; 6
Houston; ElPaso_Houston_Green; 987,6176; 6
NewOrleans; Houston_NewOrleans_Grey; 982,32; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 894,694935321184; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 894,694935321184; 3
ElPaso; LosAngeles_ElPaso_Black; 993,371168; 6
Houston; ElPaso_Houston_Green; 987,6176; 6
NewOrleans; Houston_NewOrleans_Grey; 982,32; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 894,694935321184; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 894,694935321184; 3
ElPaso; LosAngeles_ElPaso_Black; 993,371168; 6
Houston; ElPaso_Houston_Green; 987,6176; 6
NewOrleans; Houston_NewOrleans_Grey; 982,32; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 995,423572255231; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 995,423572255231; 3
ElPaso; LosAngeles_ElPaso_Black; 980,130956973508; 6
Houston; ElPaso_Houston_Green; 514,118701970248; 6
NewOrleans; Houston_NewOrleans_Grey; 797,159304088047; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 995,423572255231; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 995,423572255231; 3
ElPaso; LosAngeles_ElPaso_Black; 980,130956973508; 6
Houston; ElPaso_Houston_Green; 514,118701970248; 6
NewOrleans; Houston_NewOrleans_Grey; 797,159304088047; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 993,633641091392; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 993,633641091392; 3
ElPaso; LosAngeles_ElPaso_Black; 979,075783841069; 6
Houston; ElPaso_Houston_Green; 908,198799117047; 6
NewOrleans; Houston_NewOrleans_Grey; 982,32; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 993,633641091392; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 993,633641091392; 3
ElPaso; LosAngeles_ElPaso_Black; 979,075783841069; 6
Houston; ElPaso_Houston_Green; 908,198799117047; 6
NewOrleans; Houston_NewOrleans_Grey; 982,32; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 897,525389597015; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 897,525389597015; 3
ElPaso; LosAngeles_ElPaso_Black; 1018; 6
Houston; ElPaso_Houston_Green; 987,6176; 6
NewOrleans; Houston_NewOrleans_Grey; 982,32; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 897,525389597015; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 897,525389597015; 3
ElPaso; LosAngeles_ElPaso_Black; 1018; 6
Houston; ElPaso_Houston_Green; 987,6176; 6
NewOrleans; Houston_NewOrleans_Grey; 982,32; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
Atlanta; Atlanta_NewOrleans_Orange; 984; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 1021; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 1021; 3
ElPaso; LosAngeles_ElPaso_Black; 1018; 6
Houston; ElPaso_Houston_Green; 1012; 6
NewOrleans; Houston_NewOrleans_Grey; 1006; 2
Atlanta; Atlanta_NewOrleans_Yellow; 984; 4
